book_name,book_image,author,page,short_description,programming_language,concept,tool
PhoneGap 3 Beginner's Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/9/0984os_mockup_bg.jpg,By Giorgio Natili,308,PhoneGap opens up mobile application development to more people by using HTML and JavaScript. This b...,JavaScript,Cross Platform Mobile Development,PhoneGap
PhoneGap By Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/3/5318os.jpg,By Andrey Kovalenko,368,Use PhoneGap to apply web development skills and learn variety of cross-platform mobile applications,JavaScript,Cross Platform Mobile Development,PhoneGap
Mastering PhoneGap Mobile Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/4/8434os_2066_mastering20phonegap20mobile20application20development.jpg,By Kerri Shotts,392,Take your PhoneGap experience to the next level and create engaging real-world applications,JavaScript,Cross Platform Mobile Development,PhoneGap
PhoneGap and AngularJS for Cross-platform Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/9/8921os20phonegap20and20angularjs20for20cross-platform20development.jpg,By Yuxian,122,Build exciting cross-platform applications using PhoneGap and AngularJS,JavaScript,Cross Platform Mobile Development,PhoneGap
PhoneGap Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/6/4687os.jpg,By Ivan Turkovic,178,Use PhoneGap to build cross-platform mobile applications quickly and efficiently,JavaScript,Cross Platform Mobile Development,PhoneGap
PhoneGap: Beginner's Guide - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/2/2284os_phonegap20beginner27s20guide_third20edition.jpg,By Purusothaman Ramanujam,284,"Create, develop, debug, and deploy your very own mobile applications with PhoneGap",JavaScript,Cross Platform Mobile Development,PhoneGap
React Native Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781788991926-original_71.png,By Daniel Ward,592,Improve your React Native mobile development skills and transition from web to mobile development wi...,JavaScript,Cross Platform Mobile Development,React Native
Mastering React Native,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/7/5785cov_.jpg,By Eric Masiello,496,Leverage frontend development skills to build impressive iOS and Android applications with React Nat...,JavaScript,Cross Platform Mobile Development,React Native
React Native By Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05604.png,By Richard Kho,414,Leverage the full potential of the React Native framework to build and deploy your own native mobile...,JavaScript,Cross Platform Mobile Development,React Native
React Native Blueprints,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06647.png,By Emilio Rodriguez Martinez,346,Develop real world Android and iOS applications with the power of React native.,JavaScript,Cross Platform Mobile Development,React Native
Getting Started with React Native,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/1/5181os_5162_getting20started20with20react20native.jpg,By Ethan Holmes,172,Learn to build modern native iOS and Android applications using JavaScript and the incredible power ...,JavaScript,Cross Platform Mobile Development,React Native
React: Cross-Platform Application Development with React Native,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/1/b10471.png,By Emilio Rodriguez Martinez,182,Harness the power of React Native to build 4 real-world apps,JavaScript,Cross Platform Mobile Development,React Native
React Native - Building Mobile Apps with JavaScript,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06928.png,By Vladimir Novick,434,Your go-to guide to creating truly native iOS and Android mobile applications using React and JavaSc...,JavaScript,Cross Platform Mobile Development,React Native
Sencha Touch 2 Mobile JavaScript Framework,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/7/0748os.jpg,By John Earl Clark,324,Your knowledge of HTML and CSS is a door to the world of mobile web apps thanks to this handy guide ...,JavaScript,Cross Platform Mobile Development,Sencha Touch
Creating Mobile Apps with Sencha Touch 2,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/9/8901os_cov.jpg,By John Earl Clark,348,"If you have basic to intermediate knowledge of Sencha Touch, this tutorial will give you a deep insi...",JavaScript,Cross Platform Mobile Development,Sencha Touch
Sencha Touch Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/4/5443exp_sencha20touch20cookbook.jpg,By Ajit Kumar,350,Over 100 recipes for creating HTML5-based cross-platform apps for touch devices with this book and e...,JavaScript,Cross Platform Mobile Development,Sencha Touch
Sencha Touch Mobile JavaScript Framework,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/1/5108os.jpg,By John Earl Clark,316,Build web applications for Apple iOS and Google Android touchscreen devices with this first HTML5 mo...,JavaScript,Cross Platform Mobile Development,Sencha Touch
Data Visualization with D3 and AngularJS,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/4/8484os.jpg,By Christoph Körner,278,Build dynamic and interactive visualizations from real-world data with D3 on AngularJS,JavaScript,Data Visualization,Angular
Data Visualization with D3.js Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781782162162.png,By Nick Zhu,338,"Turn your digital data into dynamic graphics with this exciting, leading-edge cookbook. Packed with ...",JavaScript,Data Visualization,D3
Data Visualization with D3 4.x Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05530.png,By Nick Zhu,370,Discover over 65 recipes to help you create breathtaking data visualizations using the latest featur...,JavaScript,Data Visualization,D3
D3.js 4.x Data Visualization - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781787120358.png,By Ændrew Rininsland,308,Create and publish your own interactive and compelling data visualizations with D3.js 4.x,JavaScript,Data Visualization,D3
HTML5 Graphing and Data Visualization Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/7/3707ot.jpg,By Ben Fhala,344,Get a complete grounding in the exciting visual world of Canvas and HTML5 using this recipe-packed c...,JavaScript,Data Visualization,D3
Learning Responsive Data Visualization,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/7/3781os_5166_learning20responsive20data20visualization.jpg,By Christoph Körner,258,Master the art of building responsive visualizations on the Web,JavaScript,Data Visualization,D3
Learning D3.js 5 Mapping - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/c/o/cover20-20copy_6388_0.png,By Thomas Newton,298,Crisp and concise guide on building impressive maps as well as visualizations with D3 a JavaScript l...,JavaScript,Data Visualization,D3
Data Visualization with d3.js,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/0/0007os.jpg,By Swizec Teller,194,Inject new life into your data with this mini-guide that takes you through all the essentials of dat...,JavaScript,Data Visualization,D3
Learning D3.js Mapping,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/6/5609os_b01690_learning_d3.js20mapping.jpg,By Thomas Newton,126,Build stunning maps and visualizations using D3.js,JavaScript,Data Visualization,D3
Social Data Visualization with HTML5 and JavaScript,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/5/6542os_cov.jpg,By Simon Timms,104,The data on social networks is growing at an incredible pace and the best way to make sense of it is...,JavaScript,Data Visualization,D3
Expert Data Visualization,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05732.png,By Jos Dirksen,394,Breathe life into your data by learning how to use D3.js V4 to visualize information,JavaScript,Data Visualization,D3
D3.js By Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/0/0085os_4230_d3.js20by20example.jpg,By Michael Heydt,304,Create attractive web-based data visualizations using the amazing JavaScript library D3.js,JavaScript,Data Visualization,D3
Data Visualization: Representing Information on Modern Web,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/c/0/c06107_data20visualization_mockupcover_low.jpg,By Andy Kirk,531,"Unleash the power of data by creating interactive, engaging, and compelling visualizations for the w...",JavaScript,Data Visualization,D3
FusionCharts Beginner's Guide: The Official Guide for FusionCharts Suite,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/7/1765exp_fusioncharts20beginnere28099s20guide_cov.jpg,By Sanket Nadhani,252,Create interactive charts in JavaScript (HTML5) and Flash for your web and enterprise applications w...,JavaScript,Data Visualization,FusionCharts
Google Visualization API Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/3/4360ot.jpg,By Traci L. Ruthkoski,252,Make sense of your data: make it visual with the Google Visualization API,JavaScript,Data Visualization,Google Visualization API
Learning Highcharts,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/0/9083os_learning20highcharts20by20example.jpg,By Joe Kuan,362,"Whether you’re a novice or an advanced web developer, this practical tutorial will enable you to pro...",JavaScript,Data Visualization,Highcharts
Learning Highcharts 4,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/4/7451os_learning20highcharts204_frontcov_0.jpg,By Joe Kuan,478,"Design eye-catching and interactive JavaScript charts for your web page with Highcharts, one of the ...",JavaScript,Data Visualization,Highcharts
Kibana Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/9/4936os_3766_kibana20essentials.jpg,By Yuvraj Gupta,206,Use the functionalities of Kibana to discover data and build attractive visualizations and dashboard...,JavaScript,Data Visualization,Kibana
OpenLayers 3.x Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/7/7756os_4838_openlayers203.x20cookbook.jpg,By Peter J. Langley,304,Over 50 comprehensive recipes to help you create spectacular maps with OpenLayers 3,JavaScript,Data Visualization,OpenLayers
Sencha Charts Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9767os.jpg,By Ajit Kumar,214,Create stunning charts and visualizations for both web and mobile applications,JavaScript,Data Visualization,Sencha Touch
Socket.IO Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/8/0865os.jpg,By Tyson Cadenhead,184,Over 40 recipes to help you create real-time JavaScript applications using the robust Socket.IO fram...,JavaScript,Data Visualization,Socket.io
Learn Three.js - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781788833288-original.png,By Jos Dirksen,528,Create and animate stunning 3D browser based graphics with Three.js JavaScript library,JavaScript,Data Visualization,Three.js
Three.js Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/1/3144_three.js20cookbook.jpg,By Jos Dirksen,300,"Over 80 shortcuts, solutions, and recipes that allow you to create the most stunning visualizations ...",JavaScript,Data Visualization,Three.js
Learning Three.js - the JavaScript 3D Library for WebGL (Second Edition),www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/2/2215os.jpg,By Jos Dirksen,422,Create stunning 3D graphics in your browser using the Three.js JavaScript library,JavaScript,Data Visualization,Three.js
Learning Three.js: The JavaScript 3D Library for WebGL,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/2/6283os.jpg,By Jos Dirksen,402,"Three.js makes creating 3D computer graphics on a web browser a piece of proverbial cake, and this p...",JavaScript,Data Visualization,Three.js
Learning Angular - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781839210662-original_353.jpeg,By Aristeidis Bampakos,430,Uncover Angular’s potential for creating enterprise web applications—from setting up the environment...,JavaScript,Front End Web Development,Angular
"Architecting Angular Applications with Redux, RxJS, and NgRx",www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b07031_cover.png,By Christoffer Noring,364,"Manage state in Angular to write high performing web apps by combining the power of Flux, RxJS, and ...",JavaScript,Front End Web Development,Angular
Angular 6 by Example - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b09551_cover.png,By Chandermani Arora,504,"Harness the power of Angular Components, Router, Forms, Directives and much more to build profession...",JavaScript,Front End Web Development,Angular
Mastering Angular Components - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b07253_mockupcover.png,By Gion Kunz,402,Develop modern user interfaces using Angular 6 and its component-based architecture.,JavaScript,Front End Web Development,Angular
